created_at,tweet_id,tweet,label,likes,retweet_count,source,user_id,user_name,user_screen_name,user_description,user_join_date,user_followers_count,user_location,lat,long,city,country,continent,state,state_code,collected_at,language,emoji,entity,hashtags,filter_char,mul_spa
15-10-2020 00:00,1.32E+18,"#Trump: As a student I used to hear for years, for ten years, I heard China! In 2019! And we have 1.5 and they don't know how many we have and I asked them how many do we have and they said 'sir we don't know.' But we have millions. Like 300 million.

Um. What?",trump,2,1,Twitter Web App,8436472,snarke,snarke,"Will mock for food! Freelance writer, blogger, commentator. Civics nerd. She/Her",26-08-2007 05:56,1185,Portland,45.5202471,-122.6741949,Portland,United States of America,North America,Oregon,OR,00:00.7,en,"#Trump: As a student I used to hear for years, for ten years, I heard China! In 2019! And we have 1.5 and they don't know how many we have and I asked them how many do we have and they said 'sir we don't know.' But we have millions. Like 300 million.

Um. What?",trump as a student i used to hear for years for ten years i heard china in 2019 and we have 15 and they dont know how many we have and i asked them how many do we have and they said sir we dont know but we have millions like 300 million  um what,trump as a student i used to hear for years for ten years i heard china in 2019 and we have 15 and they dont know how many we have and i asked them how many do we have and they said sir we dont know but we have millions like 300 million  um what,trump as a student i used to hear for years for ten years i heard china in 2019 and we have 15 and they dont know how many we have and i asked them how many do we have and they said sir we dont know but we have millions like 300 million  um what,trump as a student i used to hear for years for ten years i heard china in 2019 and we have 15 and they dont know how many we have and i asked them how many do we have and they said sir we dont know but we have millions like 300 million um what
15-10-2020 00:00,1.32E+18,2 hours since last tweet from #Trump! Maybe he is VERY busy. Tremendously busy.,trump,0,0,Trumpytweeter,8.28E+17,Trumpytweeter,trumpytweeter,"If he doesn't tweet for some time, should we be worried?",05-02-2017 21:32,32,,,,,,,,,00:01.1,en,2 hours since last tweet from #Trump! Maybe he is VERY busy. Tremendously busy.,2 hours since last tweet from trump maybe he is very busy tremendously busy,2 hours since last tweet from trump maybe he is very busy tremendously busy,2 hours since last tweet from trump maybe he is very busy tremendously busy,2 hours since last tweet from trump maybe he is very busy tremendously busy
15-10-2020 00:00,1.32E+18,You get a tie! And you get a tie! #Trump ‘s rally #Iowa https://t.co/jJalUUmh5D,iowa,4,3,Twitter for iPhone,47413798,Rana Abtar - رنا أبتر,Ranaabtar,"Washington Correspondent, Lebanese-American ,covering Capitol Hill &DC politics in Arabic for 15+yrs. Mom of identical twins. Beach, chocolate & gym lover.",15-06-2009 19:05,5393,Washington DC,38.8949924,-77.0365581,Washington,United States of America,North America,District of Columbia,DC,00:01.5,en,You get a tie! And you get a tie! #Trump ‘s rally #Iowa https://t.co/jJalUUmh5D,you get a tie and you get a tie trump s rally iowa ,you get a tie and you get a tie trump s rally iowa,you get a tie and you get a tie trump s rally iowa,you get a tie and you get a tie trump s rally iowa
15-10-2020 00:00,1.32E+18,"@CLady62 Her 15 minutes were over long time ago. Omarosa never represented the black community! #TheReidOut 

She cried to #Trump begging for a job!",her,2,0,Twitter for Android,1138416104,Farris Flagg,FarrisFlagg,#BidenHarris2020 #JoeBiden2020 #KamalaHarrisForVP #IStandWithEllen @KamalaHarris @JoeBiden #TeamJoe #KHive #BidenHarris2020ToSaveAmerica,01-02-2013 01:37,2363,"Perris,California",33.7825194,-117.2286478,,United States of America,North America,California,CA,00:01.9,en,"@CLady62 Her 15 minutes were over long time ago. Omarosa never represented the black community! #TheReidOut 

She cried to #Trump begging for a job!", her 15 minutes were over long time ago omarosa never represented the black community thereidout   she cried to trump begging for a job,her 15 minutes were over long time ago omarosa never represented the black community thereidout   she cried to trump begging for a job,her 15 minutes were over long time ago omarosa never represented the black community thereidout   she cried to trump begging for a job,her 15 minutes were over long time ago omarosa never represented the black community thereidout she cried to trump begging for a job
15-10-2020 00:00,1.32E+18,@richardmarx Glad u got out of the house! DICK!!#trump 2020💪🏽🇺🇸🇺🇸,donaldtrump,0,0,Twitter for iPhone,7.67E+17,Michael Wilson,wilsonfire9,,21-08-2016 16:43,75,"Powell, TN",,,,,,,,00:02.2,en,@richardmarx Glad u got out of the house! DICK!!#trump 2020, glad u got out of the house dicktrump 2020,glad u got out of the house dicktrump 2020,glad u got out of the house dicktrump 2020,glad u got out of the house dicktrump 2020
15-10-2020 00:00,1.32E+18,@DeeviousDenise @realDonaldTrump @nypost There won’t be many of them.  Unless you all have been voting more than once again.  But God prevails.  BO was the most corrupt President ever.  Dark to light.  Your lies are all coming through.  They wouldn’t last forever. #Trump,trump,0,0,Twitter for iPhone,9.01E+17,Stacey Gulledge 🇺🇸 Patriot ♥️ KAG 🙏 👮‍♀️♥️,sm_gulledge,"Patriot, Wife, “Shaken not Stirred” Mom of two extraordinary kids & labradoodle lover of “Honey Buns” Trust the Plan! Always Save Our Children!",24-08-2017 16:45,766,"Ohio, USA",40.2253569,-82.6881395,,United States of America,North America,Ohio,OH,00:02.6,en,@DeeviousDenise @realDonaldTrump @nypost There won’t be many of them.  Unless you all have been voting more than once again.  But God prevails.  BO was the most corrupt President ever.  Dark to light.  Your lies are all coming through.  They wouldn’t last forever. #Trump,   there wont be many of them  unless you all have been voting more than once again  but god prevails  bo was the most corrupt president ever  dark to light  your lies are all coming through  they wouldnt last forever trump,there wont be many of them  unless you all have been voting more than once again  but god prevails  bo was the most corrupt president ever  dark to light  your lies are all coming through  they wouldnt last forever trump,there wont be many of them  unless you all have been voting more than once again  but god prevails  bo was the most corrupt president ever  dark to light  your lies are all coming through  they wouldnt last forever trump,there wont be many of them unless you all have been voting more than once again but god prevails bo was the most corrupt president ever dark to light your lies are all coming through they wouldnt last forever trump
15-10-2020 00:00,1.32E+18,One of the single most effective remedies to eradicate another round of #Trump Plague in our #WhiteHouse. https://t.co/QGB9ODIVS8,herdimmunity,0,0,Twitter Web App,540476889,Jamieo,jamieo33,"Don't know what I am. Can lean left and right, progressive and regressive, moderate and immoderate, right and wrong. All is subject to change.",30-03-2012 00:30,151,"Pennsylvania, USA",40.9699889,-77.7278831,,United States of America,North America,Pennsylvania,PA,00:03.0,en,One of the single most effective remedies to eradicate another round of #Trump Plague in our #WhiteHouse. https://t.co/QGB9ODIVS8,one of the single most effective remedies to eradicate another round of trump plague in our whitehouse ,one of the single most effective remedies to eradicate another round of trump plague in our whitehouse,one of the single most effective remedies to eradicate another round of trump plague in our whitehouse,one of the single most effective remedies to eradicate another round of trump plague in our whitehouse
15-10-2020 00:00,1.32E+18,"#Election2020 #Trump 
#FreedomOfSpeech https://t.co/9slOZFZNHJ",election2020,0,0,Twitter Web App,1.31E+18,Johnny Quest,JohnnyQuest22,"Independent

What is your American Dream?
Teach our children to be Entrepreneurs not Marxists!
Entrepreneurs create jobs and innovate to solve problems",14-09-2020 15:45,8,,,,,,,,,00:03.4,en,"#Election2020 #Trump 
#FreedomOfSpeech https://t.co/9slOZFZNHJ",election2020 trump  freedomofspeech ,election2020 trump  freedomofspeech,election2020 trump  freedomofspeech,election2020 trump freedomofspeech
15-10-2020 00:00,1.32E+18,"""IS THIS WRONG??!!"" Cory Booker's BRILLIANT Final Questioning of Trump Nominee Amy Coney Barrett https://t.co/gCTvVLl4CS
#AmyConeyBarrett #CoryBooker #Barrett #Booker #Trump #KamalaHarris #JoeBiden #SCOTUS #SupremeCourtConfirmation",trump,0,0,Twitter Web App,305727891,Dose of Dissonance,Dose_Dissonance,YOUTUBE CHANNEL: https://t.co/EFnKm5gnvV MERCHANDISE: https://t.co/FGCY7YPDGk,26-05-2011 18:09,4622,,,,,,,,,00:03.7,en,"""IS THIS WRONG??!!"" Cory Booker's BRILLIANT Final Questioning of Trump Nominee Amy Coney Barrett https://t.co/gCTvVLl4CS
#AmyConeyBarrett #CoryBooker #Barrett #Booker #Trump #KamalaHarris #JoeBiden #SCOTUS #SupremeCourtConfirmation",is this wrong cory bookers brilliant final questioning of trump nominee amy coney barrett  amyconeybarrett corybooker barrett booker trump kamalaharris joebiden scotus supremecourtconfirmation,is this wrong cory bookers brilliant final questioning of trump nominee amy coney barrett  amyconeybarrett corybooker barrett booker trump kamalaharris joebiden scotus supremecourtconfirmation,is this wrong cory bookers brilliant final questioning of trump nominee amy coney barrett  amyconeybarrett corybooker barrett booker trump kamalaharris joebiden scotus supremecourtconfirmation,is this wrong cory bookers brilliant final questioning of trump nominee amy coney barrett amyconeybarrett corybooker barrett booker trump kamalaharris joebiden scotus supremecourtconfirmation
15-10-2020 00:00,1.32E+18,"In 2020, #NYPost is being #censorship #CENSORED by Twitter to manipulate a US election in favor of #JoeBiden and against #Trump.

but CCP from #China or porn on Twitter? 

That’s always been fine for @jack @vijaya @dickc @KatieS.

@marciadorsey is @jack sick?",twitter,0,0,Twitter for iPhone,19940334,Change Illinois | Biden will increase taxes by $4T,changeillinois,"Illinois, home of Lincoln and Reagan, used to be crossroads of America. Now, it's epicenter of political mafia, corruption and #ChicagoWay. #ChangeIllinois",02-02-2009 23:08,1396,"Chicago, Illinois",41.8755616,-87.6244212,Chicago,United States of America,North America,Illinois,IL,00:04.1,en,"In 2020, #NYPost is being #censorship #CENSORED by Twitter to manipulate a US election in favor of #JoeBiden and against #Trump.

but CCP from #China or porn on Twitter? 

That’s always been fine for @jack @vijaya @dickc @KatieS.

@marciadorsey is @jack sick?",in 2020 nypost is being censorship censored by twitter to manipulate a us election in favor of joebiden and against trump  but ccp from china or porn on twitter   thats always been fine for       is  sick,in 2020 nypost is being censorship censored by twitter to manipulate a us election in favor of joebiden and against trump  but ccp from china or porn on twitter   thats always been fine for       is  sick,in 2020 nypost is being censorship censored by twitter to manipulate a us election in favor of joebiden and against trump  but ccp from china or porn on twitter   thats always been fine for       is  sick,in 2020 nypost is being censorship censored by twitter to manipulate a us election in favor of joebiden and against trump but ccp from china or porn on twitter thats always been fine for is sick
